n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model_new,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,combination,accuracy,precision,recall,auc,log_loss_,cohen_kappa_score_,accuracy_train,ision_train,recall_train,auc_train
10,3s,MICE,BoS__shap,BoS__shap,Yes,ADASYN,LR,3s & MICE & BoS__shap & ADASYN & LR,0.7548,0.1585,0.619,0.6918,8.4699,0.1633,0.6948,0.7433,0.6054,0.6958
23,3s,knn__uniform,RFE__RF,RFE__RF_30,Yes,SMOTEENN,RF,3s & knn__uniform & RFE__RF & SMOTEENN & RF,0.793,0.1563,0.4762,0.6459,7.1499,0.1497,0.9466,0.9197,0.9953,0.9369
23,3s,knn__uniform,RFE__RF,RFE__RF_30,Yes,ADASYN,RF,3s & knn__uniform & RFE__RF & ADASYN & RF,0.8344,0.1556,0.3333,0.6018,5.7199,0.1331,0.9276,0.8908,0.9742,0.9277
11,with_NaN,knn__uniform,BoS__shap,BoS__shap,Yes,ADASYN,NN,NaN & knn__uniform & BoS__shap & ADASYN & NN,0.742,0.1512,0.619,0.685,8.9099,0.1518,0.6377,0.6744,0.5246,0.6371
14,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTE,RF,nothing & knn__uniform & RFE__RF & SMOTE & RF,0.8153,0.1509,0.381,0.6137,6.3799,0.1332,0.915,0.8749,0.9684,0.915
25,3s,knn__distance,RFE__RF,RFE__RF,Yes,SMOTEENN,RF,3s & knn__distance & RFE__RF & SMOTEENN & RF,0.7643,0.1467,0.5238,0.6527,8.1399,0.1392,0.9451,0.9191,0.9943,0.9344
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,SMOTE,LR,3s & MICE & RFE__RF & SMOTE & LR,0.7484,0.1463,0.5714,0.6663,8.6899,0.1416,0.7214,0.7515,0.6615,0.7214
31,3s,knn__uniform,RFE__RF,RFE__RF,No,SMOTEENN,RF,3s & knn__uniform & RFE__RF & SMOTEENN & RF,0.7484,0.1463,0.5714,0.6663,8.6899,0.1416,0.9349,0.9034,0.9982,0.919
14,3s,knn__uniform,RFE__RF,RFE__RF_15,Yes,SMOTE,RF,3s & knn__uniform & RFE__RF & SMOTE & RF,0.8248,0.1458,0.3333,0.5967,6.0499,0.1211,0.9111,0.8787,0.9538,0.9111
9,with_NaN,knn__distance,BoS__shap,BoS__shap,Yes,ROSE,RF,NaN & knn__distance & BoS__shap & ROSE & RF,0.793,0.1452,0.4286,0.6238,7.1499,0.1299,0.8124,0.8573,0.7496,0.8124
14,3s,MICE,BoS__shap,BoS__shap,Yes,SMOTEENN,LR,3s & MICE & BoS__shap & SMOTEENN & LR,0.7134,0.1443,0.6667,0.6917,9.8999,0.1431,0.7609,0.8169,0.7368,0.7641
28,3s,MICE,RFE__SVM,RFE__SVM,Yes,ROSE,RF,3s & MICE & RFE__SVM & ROSE & RF,0.9013,0.1429,0.0952,0.5271,3.4099,0.0642,0.9359,0.9757,0.894,0.9359
23,3s,knn__uniform,RFE__RF,RFE__RF_30,Yes,SMOTE,RF,3s & knn__uniform & RFE__RF & SMOTE & RF,0.8376,0.1429,0.2857,0.5814,5.6099,0.1112,0.9338,0.8999,0.9761,0.9338
5,nothing,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,NN,nothing & knn__uniform & BoS__shap & ROSE & NN,0.8376,0.1429,0.2857,0.5814,5.6099,0.1112,0.615,0.7523,0.3427,0.615
12,nothing,MICE,RFE__RF,RFE__RF,Yes,ROSE,RF,nothing & MICE & RFE__RF & ROSE & RF,0.7739,0.1429,0.4762,0.6357,7.8099,0.1303,0.8363,0.8383,0.8333,0.8363
28,3s,MICE,RFE__SVM,RFE__SVM,Yes,SMOTEENN,RF,3s & MICE & RFE__SVM & SMOTEENN & RF,0.7102,0.1429,0.6667,0.69,10.0099,0.1406,0.9193,0.8829,0.9982,0.8993
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,SMOTEENN,LR,3s & MICE & RFE__RF & SMOTEENN & LR,0.707,0.1414,0.6667,0.6883,10.1199,0.1382,0.7553,0.7892,0.777,0.7519
11,nothing,knn__uniform,BoP,BoP,Yes,SMOTE,RF,nothing & knn__uniform & BoP & SMOTE & RF,0.7866,0.1406,0.4286,0.6204,7.3699,0.1235,0.8983,0.8509,0.9658,0.8983
19,3s,knn__uniform,BoS__shap,BoS__shap,No,SMOTEENN,LR,3s & knn__uniform & BoS__shap & SMOTEENN & LRno_removing_coli,0.6465,0.1371,0.8095,0.7222,12.2098,0.1356,0.7479,0.7983,0.7505,0.7474
24,with_NaN,knn__distance,RFE__RF,RFE__RF,Yes,SMOTEENN,RF,NaN & knn__distance & RFE__RF & SMOTEENN & RF,0.7134,0.1368,0.619,0.6696,9.8999,0.1287,0.9177,0.8794,0.9991,0.8983
19,3s,knn__uniform,BoS__shap,BoS__shap,No,SMOTE,LR,3s & knn__uniform & BoS__shap & SMOTE & LRno_removing_coli,0.7452,0.1358,0.5238,0.6425,8.7999,0.1225,0.7098,0.7508,0.6282,0.7098
12,3s,MICE,BoS__shap,BoS__shap,Yes,SMOTE,LR,3s & MICE & BoS__shap & SMOTE & LR,0.7261,0.1348,0.5714,0.6543,9.4599,0.1233,0.6791,0.7089,0.6077,0.6791
31,3s,knn__uniform,RFE__SVM,RFE__SVM,No,SMOTEENN,RF,3s & knn__uniform & RFE__SVM & SMOTEENN & RF,0.7134,0.1209,0.5238,0.6254,9.8999,0.0984,0.9256,0.8896,0.9991,0.9083
8,with_NaN,knn__distance,BoS__shap,BoS__shap,Yes,ADASYN,RF,NaN & knn__distance & BoS__shap & ADASYN & RF,0.7484,0.1184,0.4286,0.6,8.6899,0.0902,0.8022,0.7779,0.8403,0.8026
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,ROSE,LR,3s & MICE & RFE__RF & ROSE & LR,0.707,0.1183,0.5238,0.622,10.1199,0.0941,0.7017,0.7149,0.6709,0.7017
5,nothing,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTE,NN,nothing & knn__uniform & BoS__shap & SMOTE & NN,0.8057,0.1154,0.2857,0.5644,6.7099,0.0764,0.5547,0.627,0.2701,0.5547
7,with_NaN,knn__distance,BoS__shap,BoS__shap,Yes,SMOTEENN,RF,NaN & knn__distance & BoS__shap & SMOTEENN & RF,0.6783,0.1154,0.5714,0.6287,11.1098,0.0908,0.8868,0.8527,0.9756,0.8682
7,with_NaN,knn__distance,BoS__shap,BoS__shap,Yes,SMOTE,RF,NaN & knn__distance & BoS__shap & SMOTE & RF,0.758,0.1127,0.381,0.583,8.3599,0.0788,0.841,0.8276,0.8615,0.841
31,3s,knn__uniform,RFE__SVM,RFE__SVM,No,ADASYN,RF,3s & knn__uniform & RFE__SVM & ADASYN & RF,0.7994,0.1111,0.2857,0.5609,6.9299,0.0705,0.9309,0.8916,0.9834,0.9302
10,3s,MICE,BoS__shap,BoS__shap,Yes,SMOTEENN,RF,3s & MICE & BoS__shap & SMOTEENN & RF,0.6401,0.1102,0.619,0.6303,12.4298,0.0829,0.9076,0.8789,0.9784,0.892
31,3s,knn__uniform,RFE__RF,RFE__RF,No,SMOTEENN,LR,3s & knn__uniform & RFE__RF & SMOTEENN & LRno_removing_coli,0.5637,0.1027,0.7143,0.6336,15.0698,0.071,0.7686,0.7837,0.8451,0.7504
25,3s,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTE,NN,3s & knn__uniform & RFE__RF & SMOTE & NN,0.465,0.0984,0.8571,0.647,18.4798,0.0642,0.6534,0.5974,0.941,0.6534
14,3s,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTE,NN,3s & knn__uniform & BoS__shap & SMOTE & NN,0.5541,0.0897,0.619,0.5843,15.3998,0.0451,0.6739,0.6393,0.7983,0.6739
25,with_NaN,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTE,NN,NaN & knn__uniform & RFE__RF & SMOTE & NN,0.3917,0.0874,0.8571,0.6078,21.0097,0.0423,0.6205,0.5821,0.8547,0.6205
