,hyperparam,test_accuracy_mean,test_recall_mean,test_precision_mean,test_f1_mean,test_type_1_error_FP_mean,test_type_2_error_FN_mean,test_auc_mean,test_cost_mean,hyperparam_str,batch_size,epochs,activation,dropout_rate,neurons
2040,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 0.5}",0.5642276422764227,0.7497484462858834,0.6070727354880183,0.6676645033544852,106.4,54.4,0.5239069871722201,378.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 0.5}",200,10,relu,0.3,0.5
2045,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1.5}",0.5821138211382114,0.6731027776603391,0.5158000234228031,0.5815546296243841,83.2,71.0,0.5619870807088729,438.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1.5}",200,10,relu,0.3,1.5
2050,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1}",0.583739837398374,0.885934130977043,0.6016032132588658,0.7112396486551892,128.8,24.8,0.5181979821842344,252.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 1}",200,10,relu,0.3,1.0
2055,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 2}",0.5723577235772358,0.7359362448738004,0.6199509953453848,0.6668078351537415,100.4,57.4,0.5367290147338678,387.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.3, 'neurons': 2}",200,10,relu,0.3,2.0
2060,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 0.5}",0.4688346883468835,0.3787807043503995,0.4286657776084334,0.29280739201962735,60.8,135.2,0.48939035217519977,736.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 0.5}",200,10,relu,0.5,0.5
2065,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1.5}",0.5718157181571816,0.8631294127594809,0.6003050706354833,0.6988715798543215,128.2,29.8,0.5090307224132016,277.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1.5}",200,10,relu,0.5,1.5
2070,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1}",0.5073170731707317,0.4516044476387773,0.6861058995205337,0.41253010233214393,62.6,119.2,0.5192145626133936,658.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 1}",200,10,relu,0.5,1.0
2075,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 2}",0.6195121951219512,0.84662410687862,0.6507035228194832,0.7213910194179965,107.0,33.4,0.5707109729234509,274.0,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.5, 'neurons': 2}",200,10,relu,0.5,2.0
2080,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 0.5}",0.5544715447154471,0.7605504587155962,0.47764086345171053,0.5858480122951603,112.4,52.0,0.5094143022054803,372.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 0.5}",200,10,softmax,0.0,0.5
2085,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}",0.5425474254742547,0.6525472455925252,0.50885366492405,0.5266484597526176,93.2,75.6,0.5190672791225087,471.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}",200,10,softmax,0.0,1.5
2090,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}",0.5539295392953929,0.8,0.47154471544715443,0.5933496520166753,121.2,43.4,0.5,338.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}",200,10,softmax,0.0,1.0
2095,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}",0.591869918699187,0.9134570667568596,0.6084670084537785,0.7225290922269488,131.8,18.8,0.5219123953512426,225.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}",200,10,softmax,0.0,2.0
2100,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 0.5}",0.5414634146341463,0.7806451612903226,0.4660312120362583,0.5835587548494383,121.4,47.8,0.4903225806451613,360.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 0.5}",200,10,softmax,0.1,0.5
2105,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1.5}",0.586449864498645,0.8784974421849236,0.6030113258352292,0.7108880935521973,126.2,26.4,0.5229669155853165,258.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1.5}",200,10,softmax,0.1,1.5
2110,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}",0.5414634146341463,0.7889400921658986,0.5792258331302659,0.6339731196488109,123.4,45.8,0.4872332039776861,352.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}",200,10,softmax,0.1,1.0
2115,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 2}",0.564769647696477,0.6433179723502305,0.5314466579780301,0.5526058000289874,83.0,77.6,0.5479747756487994,471.0,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 2}",200,10,softmax,0.1,2.0
2120,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 0.5}",0.4823848238482385,0.4,0.23577235772357721,0.29667482600833767,60.6,130.4,0.5,712.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 0.5}",200,10,softmax,0.3,0.5
