,Unnamed: 0,fold,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_type_1_error_FP,test_type_2_error_FN,test_log_loss,test_cohen_kappa_score,hyperparam_str
2367,2367,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",100,20,linear,0.5,2.0,"[[104  47]
 [ 59 159]]",0.7127371273712737,0.7499999999999999,0.7718446601941747,0.7293577981651376,0.7090497600097211,47,59,9.921809970026429,0.4130552220888356,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}"
2368,2368,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 0.5}",100,20,softmax,0.0,0.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 0.5}"
2369,2369,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}",100,20,softmax,0.0,1.0,"[[  1 150]
 [  0 218]]",0.5934959349593496,0.7440273037542662,0.592391304347826,1.0,0.5033112582781457,150,0,14.040478045667026,0.0078155809701357,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1}"
2370,2370,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}",100,20,softmax,0.0,1.5,"[[  7 144]
 [  8 210]]",0.5880758807588076,0.7342657342657342,0.5932203389830508,0.963302752293578,0.5048301840938089,144,8,14.227667084163611,0.0112121853183838,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 1.5}"
2371,2371,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}",100,20,softmax,0.0,2.0,"[[134  17]
 [ 92 126]]",0.7046070460704607,0.6980609418282548,0.8811188811188811,0.5779816513761468,0.7326994349595964,17,92,10.2025480222265,0.4323958171631786,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0, 'neurons': 2}"
2372,2372,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 0.5}",100,20,softmax,0.1,0.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 0.5}"
2373,2373,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}",100,20,softmax,0.1,1.0,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1}"
2374,2374,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1.5}",100,20,softmax,0.1,1.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 1.5}"
2375,2375,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 2}",100,20,softmax,0.1,2.0,"[[ 91  60]
 [ 47 171]]",0.7100271002710027,0.7616926503340757,0.7402597402597403,0.7844036697247706,0.6935263381736436,60,47,10.015439160166004,0.392241976448857,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.1, 'neurons': 2}"
2376,2376,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 0.5}",100,20,softmax,0.3,0.5,"[[  0 151]
 [  0 218]]",0.5907859078590786,0.7427597955706985,0.5907859078590786,1.0,0.5,151,0,14.134081232638136,0.0,"{'batch_size': 100, 'epochs': 20, 'activation': 'softmax', 'dropout_rate': 0.3, 'neurons': 0.5}"
